Application_Id,Parent_Application_Id,Process_Id,Payment_Status,Objection_Status,Manufactrer_Id,Created_On,Is_Service_Completed,Request_Id_Fk,Is_Service_Submitted,Application_To_Be_Received_By,Payment_Remarks,Payment_Status_Date,Payment_Status_By,Is_Payment_Required,Application_Status,Application_Status_Updated_By,Application_Status_Updated_On,Is_Output_Generated,Output_Generated_On,Output_File_Name,Output_BlobFileReference,Output_ContainerName,Amount,Is_District_Level,LicenseType,RejectionRemarks,EsewaApplication_Id,FinalOutput_FileName,FinalOutput_BlobReference,Is_data_MOved,Deleted_Esewa_Application_Id,ReceiptNo,PaymentAmount,PaymentDate,PaymentBy,date_difference
1299,6269,36,2,NULL,11194,35:22.6,1,NULL,Submitted,1847563,NULL,23:02.5,11194,Yes,Approved,00:00.0,27:34.7,00:00.0,46:53.1,SaiLicense_e24d14c1.pdf,2021/april/20210405/1847563_8b2de1e1_6767_4dd5_b63e_73f8872023fb_dt_05042021_1146_54_125.pdf,agricultercontainer,1050,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11
1300,4395,36,2,NULL,3255,37:12.9,1,NULL,Submitted,1846001,NULL,40:38.6,3255,Yes,Approved,00:00.0,08:43.9,00:00.0,06:51.4,Jagdambey_5429905c.pdf,2021/april/20210407/1846001_a0ca0d39_8fc4_4a7e_8786_eb1f39c7a1c1_dt_07042021_0206_50_746.pdf,agricultercontainer,1000,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13
1301,4305,36,NULL,NULL,3138,33:54.5,1,NULL,Submitted,1846242,NULL,NULL,NULL,Yes,Rejected,00:00.0,44:53.5,NULL,NULL,NULL,NULL,NULL,NULL,1,2,Original Licence copy,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1302,4305,36,2,NULL,3138,48:03.1,1,NULL,Submitted,1846242,NULL,45:25.7,3138,Yes,Approved,00:00.0,52:43.2,00:00.0,02:15.8,283_5c6eddcc.pdf,2021/april/20210405/1846242_a033b986_c659_450b_be91_efd01cf54627_dt_05042021_0302_16_835.pdf,agricultercontainer,1500,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11
1303,7928,35,2,NULL,15409,19:24.2,1,NULL,Submitted,1846242,NULL,13:44.3,15409,Yes,Approved,00:00.0,41:10.7,00:00.0,41:44.0,fer 649_5121e667.pdf,2021/april/20210409/1846242_20d18236_9ced_4386_95b3_b2dc9feca647_dt_09042021_0541_43_424.pdf,agricultercontainer,1000,1,2,Fill Complete Documents etc,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8
1304,1583,51,2,NULL,6693,24:24.3,1,NULL,Submitted,1849201,NULL,07:23.8,6693,Yes,Approved,00:00.0,18:35.8,00:00.0,58:00.5,Guru Kirpa kheti store_compressed_6de0de46.pdf,2021/april/20210420/1849201_ade13ce0_5cba_4813_b845_5c89d4abc470_dt_20042021_1058_00_810.pdf,agricultercontainer,25,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26
1305,1213,36,2,NULL,6468,27:47.1,0,NULL,Submitted,1849196,NULL,11:48.8,6468,Yes,Pending,00:00.0,14:06.1,NULL,NULL,NULL,NULL,NULL,1050,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1306,313,37,NULL,NULL,326,59:59.3,0,NULL,Draft,1848680,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1307,6886,52,2,NULL,13518,20:21.9,1,NULL,Submitted,1849736,NULL,49:08.7,13518,Yes,Approved,00:00.0,53:42.5,00:00.0,02:32.0,CamScanner 07-14-2021 14.59 (3)_4630ffc7.pdf,2021/july/20210714/1849736_d3978be5_109f_4dbf_85de_6a9903a218c5_dt_14072021_0302_34_035.pdf,agricultercontainer,100,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,110
1308,7716,35,2,NULL,15132,43:42.3,1,NULL,Submitted,1847563,NULL,18:50.1,15132,Yes,Approved,00:00.0,50:26.5,00:00.0,59:14.0,Vijaytrading_5366b2be.pdf,2021/april/20210429/1847563_053e280c_b561_4a07_855f_be5a67e0b1d0_dt_29042021_1259_13_947.pdf,agricultercontainer,1000,1,2,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34
1309,85,18,NULL,NULL,519,02:55.2,0,2.02E+11,Submitted,1848680,NULL,NULL,NULL,Yes,Objection,NULL,02:55.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1310,3051,51,2,NULL,3670,30:35.3,1,2.02E+11,Submitted,1846007,NULL,32:49.4,3670,Yes,Approved,00:00.0,39:01.6,00:00.0,48:01.5,malwa agro_cd8e8c9c.pdf,2021/august/20210810/1846007_c860f3ea_1d00_46fc_be68_28a7c1bbaa65_dt_10082021_0948_01_157.pdf,agricultercontainer,25,1,2,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,27
1311,1398,51,NULL,NULL,5821,07:53.0,1,NULL,Submitted,1849201,NULL,NULL,NULL,Yes,Rejected,00:00.0,05:17.6,NULL,NULL,NULL,NULL,NULL,NULL,1,2, o form of  The Block mamdot is not correct,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
